Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Why Do So Many Strategies Fail?","Collis, David J.","Harvard Business Review",="00178012",,="Jul/Aug2021","99","4","82","12","150884750",,"Harvard University","Article","Strategic planning; Competitive advantage in business; Value creation; Business models; Decision making in business; New business enterprises; Mature organizations",,"Today it’s not unusual for corporations that have dominated their markets for decades to be blind-sided by upstarts with radical new business models. A lot of young ventures, on the other hand, raise vast sums of money and attract tens of millions of customers, only to collapse when they can’t figure out how to fend off imitators. In these situations and many others, the underlying cause is often a failure to take a holistic approach to strategy. Strategy today demands more than classic competitive positioning. It requires making carefully coordinated choices about the opportunities to pursue; the business model with the highest potential to create value; how to capture as much of that value as possible; and the implementation processes that help a firm adapt activities and build capabilities that allow it to realize long-term value. Neglecting any of those imperatives can derail a strategy, but CEOs frequently zero in on just one. Entrepreneurs tend to focus on identifying a golden opportunity and don’t think enough about how to monetize it; leaders of incumbents, on capturing value but not new ways to create it. By tackling all the elements of strategy and integrating them well, however, firms will greatly increase their odds of success. [ABSTRACT FROM AUTHOR] Copyright 2021 Harvard Business Publishing. All Rights Reserved. Additional restrictions may apply including the use of this content as assigned course material. Please consult your institution's librarian about any restrictions that might apply under the license with your institution. For more information and teaching resources from Harvard Business Publishing including Harvard Business School Cases, eLearning products, and business simulations please visit hbsp.harvard.edu. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150884750&site=ehost-live"
"The Relative Role of Digital Complementary Assets and Regulation in Discontinuous Telemedicine Innovation in European Hospitals.","Steinhauser, Stefanie; Doblinger, Claudia; Hüsig, Stefan","Journal of Management Information Systems",="07421222",,="2020","37","4","1155","29","147311114","10.1080/07421222.2020.1831778","Taylor & Francis Ltd","Article","Innovation adoption; Technological innovations; Diffusion of innovations; Hospitals; Information storage & retrieval systems; General Medical and Surgical Hospitals; General (except paediatric) hospitals; Telemedicine; Hospital care","Digital complementary assets; digital innovations; digital transformation; discontinuous innovations; health care; innovation adoption; regulation; telemedicine","Telemedicine innovation is important for accelerating the digital transformation of the health care sector. However, telemedicine is a discontinuous digital innovation, and incumbent health care organizations are lagging in its adoption. We combine research on IT innovation adoption and discontinuous innovation to study the relative role of two drivers of discontinuous innovation adoption: digital complementary assets and the regulatory environment. Our findings from 1,753 acute care hospitals across 30 European countries suggest that digital complementary assets have a stronger effect on telemedicine innovation adoption than the regulatory framework. In addition, we observe application- and business model-specific differences. Overall, our findings add the role of organizational versus regulatory drivers of discontinuous innovation adoption to information systems research, emphasize the importance of digital complementary assets for the adoption of discontinuous innovation by incumbent organizations, and provide new insights into how the diffusion of telemedicine innovation can be accelerated. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Information Systems is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=147311114&site=ehost-live"
"When Blockchain Creates Shareholder Value: Empirical Evidence from International Firm Announcements.","Klöckner, Maximilian; Schmidt, Christoph G.; Wagner, Stephan M.","Production & Operations Management",="10591478",,="Jan2022","31","1","46","19","155254251","10.1111/poms.13609","Wiley-Blackwell","Article","Stockholder wealth; Financial market reaction; Blockchains; Information services; Supply chain management; All Other Information Services","blockchain; event study; information technology; stock market reaction","Blockchain is a prominently discussed technology in operations and supply chain management and firms increasingly engage in blockchain initiatives. Yet, an understanding of the technology's financial value remains elusive. Based on 175 firm announcements between 2015 and 2019, we conduct an international event study to estimate the impact of blockchain initiatives on the market value of the firm. We empirically demonstrate that blockchain announcements are associated with a significant average abnormal return of 0.30% on the announcement day, and that there are indications of positive long‐term effects on shareholder value. We further demonstrate how blockchain use case, project, and firm characteristics affect the stock market reaction. Specifically, we find that the stock market reaction to blockchain announcements is less positive when blockchain is used to trace physical objects or to share sensitive data, providing empirical evidence for the risk associated with current challenges in the design of blockchain use cases. Our results also suggest that the involvement of an external information technology service provider in a blockchain project attenuates the positive stock market reaction. Interestingly, more innovative firms do not experience a stronger stock market reaction to blockchain announcements. Leveraging the international scope of our sample, we further shed light on how the firm's competitive (i.e., industry factors) and macro environment (i.e., country factors) affect the stock market reaction. Our findings indicate that the industry's R&D intensity and the country's data restriction level play a crucial role in driving the value attributed to blockchain initiatives. [ABSTRACT FROM AUTHOR] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=155254251&site=ehost-live"
"How Valuable Is FinTech Innovation?","Chen, Mark A; Wu, Qinxi; Yang, Baozhong","Review of Financial Studies",="08939454",,="May2019","32","5","2062","45","135777496","10.1093/rfs/hhy130","Oxford University Press / USA","Article","Financial technology; Effect of technological innovations on financial institutions; Value creation; Patent applications; Blockchains; Robo-advisors (Financial planning); Financial services industry; Consumer Lending; Machine learning; Internet of things; Change agents",,"We provide large-scale evidence on the occurrence and value of FinTech innovation. Using data on patent filings from 2003 to 2017, we apply machine learning to identify and classify innovations by their underlying technologies. We find that most FinTech innovations yield substantial value to innovators, with blockchain being particularly valuable. For the overall financial sector, internet of things (IoT), robo-advising, and blockchain are the most valuable innovation types. Innovations affect financial industries more negatively when they involve disruptive technologies from nonfinancial startups, but market leaders that invest heavily in their own innovation can avoid much of the negative value effect. ReceivedMay 31, 2017; editorial decision September 30, 2018 by Editor Andrew Karolyi. [ABSTRACT FROM AUTHOR] Copyright of Review of Financial Studies is the property of Oxford University Press / USA and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135777496&site=ehost-live"
"Decision Problems in Blockchain Governance: Old Wine in New Bottles or Walking in Someone Else’s Shoes?","Ziolkowski, Rafael; Miscione, Gianluca; Schwabe, Gerhard","Journal of Management Information Systems",="07421222",,="2020","37","2","316","33","144555625","10.1080/07421222.2020.1759974","Taylor & Francis Ltd","Article",,"blockchain; Blockchain governance; decision-making in blockchain systems; distributed governance","Blockchain comes with the promise of being a disruptive technology with the potential for novel ways of interaction in a wide range of applications. Following broader application, scholarly interest in the technology is growing, though an extensive analysis of blockchain applications from a governance perspective is lacking to date. This research pays special attention to the governance of blockchain systems and illustrates decision problems in 14 blockchain systems from four application domains. Based on academic literature, semi-structured interviews with representatives from those organizations, and content analysis of grey literature, common problems in blockchain governance have been singled out and contextualized. Studying their enactment revealed their relevance to major organizational theories in what we labelled “Patrolling the borders,” “External Legitimation,” “Reduction of Discretionality,” and “Temporal Management.” The identification of these problems enriches the scarce body of knowledge on the governance of blockchain systems, resulting in a better understanding of how blockchain governance links to existing concepts and how it is enacted in practice. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Information Systems is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=144555625&site=ehost-live"
"Parallel Play: Startups, Nascent Markets, and Effective Business-model Design.","McDonald, Rory M.; Eisenhardt, Kathleen M.","Administrative Science Quarterly",="00018392",,="Jun2020","65","2","483","41","142891509","10.1177/0001839219852349","Administrative Science Quarterly","Article","New business enterprises; Business models; Business success; Financial technology; Businesspeople","adaptation; business model design; competition; entrepreneurship; institutional entrepreneurship; legitimacy; mechanisms and processes; organizational innovation; organizational learning; qualitative methods; search; strategy","Prior research has advanced several explanations for entrepreneurial success in nascent markets but leaves a key imperative unexplored: the business model. By studying five ventures in a nascent financial-technology market, we develop a novel theoretical framework for understanding how entrepreneurs effectively design business models: parallel play. Similar to parallel play by preschoolers, entrepreneurs engaged in parallel play interweave action, cognition, and timing to accelerate learning about a novel world. Specifically, they (1) borrow from peers and focus on established substitutes for their services or products, (2) test assumptions, then commit to a broad business-model template, and (3) pause before elaborating the activity system. The insights from our framework contribute to research on optimal distinctiveness and to the learning and evolutionary-adjustment literatures. More broadly, we blend organization theory with a fresh theoretical lens—business-model processes—to highlight how organizations actually work and create value. [ABSTRACT FROM AUTHOR] Copyright of Administrative Science Quarterly is the property of Administrative Science Quarterly and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=142891509&site=ehost-live"
"STABILITY OF TRANSACTION FEES IN BITCOIN: A SUPPLY AND DEMAND PERSPECTIVE.","Ilk, Noyan; Guangzhi Shang; Shaokun Fan; Zhao, J. Leon","MIS Quarterly",="02767783",,="Jun2021","45","2","563","30","150485809","10.25300/MISQ/2021/15718","MIS Quarterly","Article","Transaction costs; Bitcoin; Bank service charges; Supply & demand; Cryptocurrency exchanges; Market volatility","blockchain; cryptocurrency; Fintech; supply and demand; transaction fee","Cryptocurrencies such as Bitcoin are breakthrough financial technologies that promise to revolutionize the digital economy. Unfortunately, their long-term adoption in the business world is imperiled by a lack of stability that manifests as dramatic swings in transaction fees and severe participant dissatisfaction. To date, there has been little academic effort to study how system participants react to volatility in fee movements. Our study addresses this research gap by conceptualizing the Bitcoin platform as a data space market and studying how market equilibrium forms between users who demand data space while trying to avoid transaction delays, and miners who supply data space while trying to maximize fee revenues. Our empirical analysis based on past bitcoin transactions reveals the existence of a relatively flat downward-sloping demand curve and a much steeper upward-sloping supply curve. Regarding users, the inelastic nature of demand signals the utility of Bitcoin as a niche platform for transactions that are otherwise difficult to conduct. This result challenges the belief that users may easily abandon Bitcoin technology given rising transaction costs. We also find that the use of bitcoins as a trading asset is associated with higher levels of tolerance to fees. Regarding miners, the comparatively elastic nature of supply indicates that higher fees stimulate mining by a larger magnitude than suppressing demand. This finding implies that, ceteris paribus, the Bitcoin system turns to self-regulate transaction fees in an efficient manner. Our work has implications for the management of congestion in blockchain-based systems and more broadly for the stability of cryptocurrency markets. [ABSTRACT FROM AUTHOR] Copyright of MIS Quarterly is the property of MIS Quarterly and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=150485809&site=ehost-live"
"Disruptive Technologies and Operations Management in the Industry 4.0 Era and Beyond.","Choi, Tsan‐Ming; Kumar, Subodha; Yue, Xiaohang; Chan, Hau‐Ling","Production & Operations Management",="10591478",,="Jan2022","31","1","9","23","155254252","10.1111/poms.13622","Wiley-Blackwell","Article","Industry 4.0; Operations management; Artificial intelligence; Disruptive technologies; Technology management","disruptive technologies; Industry 5.0; operations management","In the Industry 4.0 era, automation and data analytics emerge as the major forces to enhance efficiency in operations management (OM). Disruptive technologies, such as artificial intelligence, robotics, blockchain, 3D printing, 5G, Internet‐of‐Thing, digital twins, and augmented reality, are widely applied. They potentially will bring a radical change to real world operations. In this study, we first explore several major disruptive technologies, examine the corresponding OM studies, and highlight their current applications in the industry. Then, we discuss the pros and cons associated with the use of these technologies and uncover the potential human–machine conflicting areas. After that, we propose measures which may be able to achieve human–machine reconciles in the coming Industry 5.0 era. A concept of ""sustainable social welfare"" which includes worker welfare, privacy, etc. is proposed and the roles played by policy makers are also discussed. Finally, a future research agenda, which covers topics in both the Industry 4.0 and Industry 5.0 eras, is established. [ABSTRACT FROM AUTHOR] Copyright of Production & Operations Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=155254252&site=ehost-live"
"Handling the Efficiency–Personalization Trade-Off in Service Robotics: A Machine-Learning Approach.","Tofangchi, Schahin; Hanelt, André; Marz, David; Kolbe, Lutz M.","Journal of Management Information Systems",="07421222",,="2021","38","1","246","31","149635446","10.1080/07421222.2021.1870391","Taylor & Francis Ltd","Article","Value creation; Robotics; Information storage & retrieval systems; Systems design; Digital technology; Dynamic balance (Mechanics)","Autonomous vehicles; machine learning; real-time computation; service robots; sharing economy; trade-off learning","While multiple mechanisms for value creation from big data analytics (BDA) exist, their application in everyday life can create trade-offs, particularly in the context of service robotics where the dispersion of autonomous digital technologies creates potentials for data-driven efficiency gains. Attending to personal preferences in such contexts, increasingly vital for customer acceptance, may run counter to efficiency, thus constraining value creation and rendering efficiency-personalization trade-offs a key managerial challenge. For the case of autonomous vehicles (AVs), we formalize this trade-off and design a machine-learning approach to handle it by drawing on a unique dataset comprising 35,000 drives by 1,850 users. We consider the real-time dynamics and user interactions that affect the decisions of AVs and develop a model extension that allows for leveraging the properties of sharing business models to make better-informed decisions. Our study contributes to information systems (IS) AV research by providing an artifact that targets both efficiency and personalization of AV operations as well as the dynamic balance between the two. With the focus on everyday life contexts, our study points to the value of incorporating trade-offs between competing goals as well as human-centered perspectives in information systems designs for research on BDA value creation. For practitioners, our work provides a practical and generalizable approach to realize the potentials of service robots without risking customer acceptance. [ABSTRACT FROM AUTHOR] Copyright of Journal of Management Information Systems is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=149635446&site=ehost-live"
"THE TRANSFORMATIVE BUSINESS MODEL.","KAVADIAS, STELIOS; LADAS, KOSTAS; LOCH, CHRISTOPH","Harvard Business Review",="00178012",,="Oct2016","94","10","90","9","118307931",,"Harvard University","Article","Innovations in business; Business models; Technological innovations; Business partnerships; Corporate culture",,"A business model that can link a new technology to an emerging market need is the key to industry transformation. When Apple coupled the iPod with iTunes, it revolutionized the audio devices market. But most attempts to introduce a new model fail. The authors did an in-depth analysis of 40 companies that had launched new business models in a variety of industries, and here they present the key takeaways from their research. They looked for recurring features in the models and found six: personalization, a closed-loop process, asset sharing, usage-based pricing, a collaborative ecosystem, and an agile and adaptive organization. No model displayed all of them, but having a higher number of features usually correlated with a greater chance of success at transformation. (The taxi service Uber can claim five of the six.) Companies that are thinking about changing their business model or entering an industry with a new model can rate themselves on the six features to assess the likelihood that they’ll be transformative. INSETS: Linking Technology and the Market.;How Many Boxes Should a Model Tick?. [ABSTRACT FROM AUTHOR] Copyright 2016 Harvard Business Publishing. All Rights Reserved. Additional restrictions may apply including the use of this content as assigned course material. Please consult your institution's librarian about any restrictions that might apply under the license with your institution. For more information and teaching resources from Harvard Business Publishing including Harvard Business School Cases, eLearning products, and business simulations please visit hbsp.harvard.edu. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=118307931&site=ehost-live"
